"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016년 12월 02일","114.95","113.39","115.15","113.00","998.99K","1.23%"
"2016년 12월 01일","113.55","119.29","119.29","112.87","1.16M","-4.88%"
"2016년 11월 30일","119.38","120.01","120.32","119.33","197.31K","-0.57%"
"2016년 11월 29일","120.07","120.20","120.78","119.50","390.85K","-0.18%"
"2016년 11월 28일","120.29","120.36","120.84","120.09","220.49K","-0.30%"
"2016년 11월 25일","120.65","120.66","120.71","120.13","137.35K","0.17%"
"2016년 11월 23일","120.44","120.34","120.69","119.70","348.01K","0.12%"
"2016년 11월 22일","120.29","119.65","120.40","119.54","472.97K","1.07%"
"2016년 11월 21일","119.02","118.59","119.20","118.18","380.14K","0.67%"
"2016년 11월 18일","118.23","117.03","118.38","117.03","354.82K","0.72%"
"2016년 11월 17일","117.38","116.57","117.96","115.87","361.52K","1.08%"
"2016년 11월 16일","116.13","114.61","116.23","114.58","404.09K","1.15%"
"2016년 11월 15일","114.81","113.16","115.11","112.89","471.66K","1.87%"
"2016년 11월 14일","112.70","113.85","113.86","112.40","446.73K","-0.52%"
"2016년 11월 11일","113.29","110.35","113.47","110.35","865.13K","3.83%"
"2016년 11월 10일","109.11","112.17","112.90","108.10","2.22M","-2.16%"
"2016년 11월 09일","111.52","109.54","111.88","109.00","1.04M","-0.47%"
"2016년 11월 08일","112.05","111.79","112.77","111.16","408.68K","0.21%"
"2016년 11월 07일","111.82","110.78","111.89","110.34","1.60M","2.81%"
"2016년 11월 04일","108.76","108.81","109.72","108.00","419.72K","-0.63%"
"2016년 11월 03일","109.45","109.69","110.41","109.05","504.21K","-0.17%"
"2016년 11월 02일","109.64","110.44","111.05","109.28","820.52K","-0.66%"
"2016년 11월 01일","110.37","111.38","112.26","109.16","557.99K","-0.89%"
"2016년 10월 31일","111.36","111.15","111.89","111.15","304.44K","0.54%"
"2016년 10월 28일","110.76","111.88","112.55","110.64","599.46K","-0.60%"
"2016년 10월 27일","111.43","113.04","113.30","111.28","461.85K","-0.46%"
"2016년 10월 26일","111.95","111.25","112.61","111.16","373.25K","-0.14%"
"2016년 10월 25일","112.11","112.27","112.61","111.90","274.48K","-0.09%"
"2016년 10월 24일","112.21","110.77","112.28","110.77","237.01K","1.83%"
"2016년 10월 21일","110.19","109.59","110.30","109.15","365.26K","-0.25%"
"2016년 10월 20일","110.47","109.50","110.87","108.83","686.57K","0.70%"
"2016년 10월 19일","109.70","109.20","109.84","108.66","397.40K","-0.42%"
"2016년 10월 18일","110.16","110.24","110.61","109.95","297.22K","1.16%"
"2016년 10월 17일","108.90","109.36","109.95","108.84","233.69K","-0.52%"
"2016년 10월 14일","109.47","109.64","110.75","109.37","455.04K","0.75%"
"2016년 10월 13일","108.65","108.97","108.97","106.90","694.02K","-1.18%"
"2016년 10월 12일","109.95","110.25","110.28","108.97","522.53K","-0.34%"
"2016년 10월 11일","110.32","112.54","112.54","109.35","623.84K","-2.09%"
"2016년 10월 10일","112.68","113.78","114.21","112.64","403.48K","-0.50%"
"2016년 10월 07일","113.25","113.60","113.60","112.23","461.33K","-0.15%"
"2016년 10월 06일","113.42","112.68","113.51","111.98","867.86K","0.59%"
"2016년 10월 05일","112.76","112.30","113.55","112.03","1.28M","0.73%"
"2016년 10월 04일","111.94","112.70","113.05","111.51","339.75K","-0.26%"
"2016년 10월 03일","112.23","113.26","113.75","112.01","1.21M","-0.67%"
"2016년 09월 30일","112.99","111.89","113.72","111.89","457.72K","1.58%"
"2016년 09월 29일","111.23","109.93","111.92","108.73","860.35K","1.23%"
"2016년 09월 28일","109.88","110.06","110.44","109.21","280.18K","0.20%"
"2016년 09월 27일","109.66","107.55","109.68","107.49","344.93K","1.73%"
"2016년 09월 26일","107.80","108.10","108.46","107.35","383.06K","-1.40%"
"2016년 09월 23일","109.33","110.30","110.35","109.19","272.67K","-1.02%"
"2016년 09월 22일","110.46","110.82","111.15","110.14","352.24K","0.33%"
"2016년 09월 21일","110.10","109.14","110.27","108.67","431.88K","1.38%"
"2016년 09월 20일","108.60","109.72","109.79","108.33","358.73K","-0.45%"
"2016년 09월 19일","109.09","109.64","110.69","108.73","393.46K","0.12%"
"2016년 09월 16일","108.96","109.73","110.07","108.13","638.66K","0.03%"
"2016년 09월 15일","108.93","106.42","109.13","106.28","598.49K","2.31%"
"2016년 09월 14일","106.47","105.27","106.73","105.13","364.74K","0.88%"
"2016년 09월 13일","105.54","105.95","106.85","105.01","400.70K","-0.88%"
"2016년 09월 12일","106.48","103.68","106.60","103.33","720.92K","1.87%"
"2016년 09월 09일","104.53","107.53","107.53","104.21","848.77K","-3.55%"
"2016년 09월 08일","108.38","108.22","108.67","107.73","451.10K","-0.18%"
"2016년 09월 07일","108.57","109.56","109.58","108.37","1.27M","-0.76%"
"2016년 09월 06일","109.40","109.84","109.99","108.84","361.80K","-0.23%"
"2016년 09월 02일","109.65","110.25","110.33","109.15","554.85K","-0.10%"
"2016년 09월 01일","109.76","109.21","109.84","108.35","464.56K","0.79%"
"2016년 08월 31일","108.90","108.94","109.06","108.29","482.45K","-0.06%"
"2016년 08월 30일","108.97","109.20","109.80","108.58","1.06M","-0.19%"
"2016년 08월 29일","109.18","109.21","109.60","109.05","270.25K","0.40%"
"2016년 08월 26일","108.75","108.45","109.57","108.02","310.70K","0.44%"
"2016년 08월 25일","108.27","107.50","108.77","107.50","313.37K","0.41%"
"2016년 08월 24일","107.83","108.88","108.97","107.55","305.90K","-0.83%"
"2016년 08월 23일","108.73","108.68","109.21","108.68","275.19K","0.49%"
"2016년 08월 22일","108.20","107.98","108.46","107.74","256.86K","0.05%"
"2016년 08월 19일","108.15","107.33","108.41","107.33","490.78K","0.86%"
"2016년 08월 18일","107.23","106.49","107.24","106.40","230.97K","0.72%"
"2016년 08월 17일","106.46","106.52","106.54","105.89","594.14K","-0.02%"
"2016년 08월 16일","106.48","107.06","107.06","106.36","627.70K","-0.70%"
"2016년 08월 15일","107.23","106.01","107.49","106.01","227.74K","1.36%"
"2016년 08월 12일","105.79","105.50","106.02","105.39","191.70K","0.47%"
"2016년 08월 11일","105.30","105.35","105.44","104.75","376.50K","0.38%"
"2016년 08월 10일","104.90","105.71","105.83","104.46","815.61K","-0.68%"
"2016년 08월 09일","105.62","105.35","105.96","105.17","376.01K","0.81%"
"2016년 08월 08일","104.77","105.25","105.50","104.58","231.90K","-0.11%"
"2016년 08월 05일","104.89","104.18","105.00","104.03","413.02K","1.27%"
"2016년 08월 04일","103.57","102.87","103.61","102.68","406.20K","0.94%"
"2016년 08월 03일","102.61","101.93","102.63","101.91","416.32K","0.13%"
"2016년 08월 02일","102.48","103.89","103.89","101.86","1.51M","-1.54%"
"2016년 08월 01일","104.08","104.23","104.46","103.72","493.14K","0.08%"
"2016년 07월 29일","104.00","104.44","104.78","103.53","339.02K","-0.44%"
"2016년 07월 28일","104.46","104.57","105.16","104.00","831.90K","-0.55%"
"2016년 07월 27일","105.04","105.99","106.03","104.43","1.14M","-0.01%"
"2016년 07월 26일","105.05","102.10","105.52","102.10","1.47M","3.88%"
"2016년 07월 25일","101.13","100.53","101.32","100.53","236.68K","0.58%"
"2016년 07월 22일","100.55","99.71","100.61","99.10","466.28K","0.50%"
"2016년 07월 21일","100.05","100.86","100.92","99.64","486.18K","-0.70%"
"2016년 07월 20일","100.76","99.75","101.01","99.43","655.74K","1.58%"
"2016년 07월 19일","99.19","99.37","99.46","98.88","281.83K","-0.34%"
"2016년 07월 18일","99.53","99.33","99.71","99.05","475.38K","1.47%"
"2016년 07월 15일","98.09","98.14","98.26","97.70","383.68K","-0.03%"
"2016년 07월 14일","98.12","98.29","98.39","97.50","467.07K","0.73%"
"2016년 07월 13일","97.41","97.64","98.00","97.26","476.96K","0.12%"
"2016년 07월 12일","97.29","96.92","97.62","96.74","1.03M","1.30%"
"2016년 07월 11일","96.04","95.69","96.45","95.62","320.28K","1.13%"
"2016년 07월 08일","94.97","93.35","95.05","93.30","358.43K","2.78%"
"2016년 07월 07일","92.40","91.43","93.08","91.43","394.75K","1.22%"
"2016년 07월 06일","91.29","90.51","91.44","89.63","575.07K","0.13%"
"2016년 07월 05일","91.17","92.14","92.14","90.62","861.08K","-1.83%"
"2016년 07월 01일","92.87","92.93","93.19","92.68","446.03K","-0.82%"
"2016년 06월 30일","93.64","92.18","93.74","92.00","525.83K","1.72%"
"2016년 06월 29일","92.06","91.30","92.33","90.97","784.60K","2.02%"
"2016년 06월 28일","90.24","89.31","90.42","89.07","913.91K","2.62%"
"2016년 06월 27일","87.94","90.41","90.42","87.34","1.77M","-4.06%"
"2016년 06월 24일","91.66","92.82","94.31","91.31","885.68K","-5.43%"
"2016년 06월 23일","96.92","95.80","97.03","95.51","366.45K","2.50%"
"2016년 06월 22일","94.56","94.79","95.56","94.45","306.35K","-0.10%"
"2016년 06월 21일","94.65","94.75","94.93","94.31","322.19K","0.00%"
"2016년 06월 20일","94.65","94.97","95.78","94.59","368.70K","1.11%"
"2016년 06월 17일","93.61","94.26","94.26","92.93","605.94K","-0.85%"
"2016년 06월 16일","94.41","93.49","94.47","92.79","1.36M","-0.01%"
"2016년 06월 15일","94.42","94.91","95.07","94.26","235.55K","-0.01%"
"2016년 06월 14일","94.43","94.15","94.68","93.53","421.92K","-0.03%"
"2016년 06월 13일","94.46","94.34","95.51","94.26","554.82K","-0.52%"
"2016년 06월 10일","94.95","95.55","95.55","94.61","346.32K","-1.64%"
"2016년 06월 09일","96.53","95.80","96.58","95.47","362.43K","0.11%"
"2016년 06월 08일","96.42","96.46","96.67","96.12","139.63K","-0.04%"
"2016년 06월 07일","96.46","95.96","96.65","95.95","466.45K","0.95%"
"2016년 06월 06일","95.55","95.83","96.34","95.39","628.67K","-0.23%"
"2016년 06월 03일","95.77","96.32","96.37","95.21","438.68K","0.29%"
"2016년 06월 02일","95.49","95.30","95.49","94.88","246.91K","0.02%"
"2016년 06월 01일","95.47","94.89","95.59","94.52","438.13K","0.53%"
"2016년 05월 31일","94.97","94.60","95.06","94.34","714.78K","0.58%"
"2016년 05월 27일","94.42","93.75","94.58","93.75","287.17K","0.63%"
"2016년 05월 26일","93.83","93.66","94.05","93.43","304.08K","0.33%"
"2016년 05월 25일","93.52","93.54","93.77","92.80","416.18K","0.59%"
"2016년 05월 24일","92.97","91.53","93.08","91.42","529.17K","2.41%"
"2016년 05월 23일","90.78","90.75","91.59","90.75","245.30K","0.70%"
"2016년 05월 20일","90.15","88.56","90.24","88.55","559.80K","3.03%"
"2016년 05월 19일","87.50","87.42","88.16","86.74","464.92K","-0.56%"
"2016년 05월 18일","87.99","86.28","88.75","86.28","667.85K","1.56%"
"2016년 05월 17일","86.64","87.08","87.56","86.38","207.96K","-0.65%"
"2016년 05월 16일","87.21","85.88","87.80","85.58","237.57K","1.61%"
"2016년 05월 13일","85.83","85.76","86.54","85.58","534.48K","0.36%"
"2016년 05월 12일","85.52","87.28","87.44","84.83","403.97K","-1.79%"
"2016년 05월 11일","87.08","86.96","87.86","86.96","892.08K","-0.24%"
"2016년 05월 10일","87.29","86.51","87.33","85.99","276.73K","1.18%"
"2016년 05월 09일","86.27","86.54","87.00","86.02","324.99K","-0.13%"
"2016년 05월 06일","86.38","85.89","86.44","85.19","413.97K","0.14%"
"2016년 05월 05일","86.26","86.55","87.09","85.95","392.73K","0.24%"
"2016년 05월 04일","86.05","86.41","87.02","85.75","845.65K","-1.14%"
"2016년 05월 03일","87.04","87.16","87.57","86.64","1.10M","-1.14%"
"2016년 05월 02일","88.04","87.61","88.16","86.93","381.39K","0.76%"
"2016년 04월 29일","87.38","89.40","89.40","86.71","868.04K","-2.64%"
"2016년 04월 28일","89.75","91.67","92.17","89.51","496.51K","-2.62%"
"2016년 04월 27일","92.16","90.33","92.31","90.24","505.61K","1.02%"
"2016년 04월 26일","91.23","90.71","92.06","90.70","452.14K","1.33%"
"2016년 04월 25일","90.03","90.29","90.81","89.76","598.66K","-0.60%"
"2016년 04월 22일","90.57","90.48","91.37","89.84","243.78K","0.18%"
"2016년 04월 21일","90.41","90.92","90.92","89.98","275.07K","-0.59%"
"2016년 04월 20일","90.95","89.86","91.36","89.85","368.55K","0.95%"
"2016년 04월 19일","90.09","91.40","91.49","89.71","430.98K","-1.22%"
"2016년 04월 18일","91.20","90.86","91.42","90.69","326.68K","0.01%"
"2016년 04월 15일","91.19","91.78","91.91","91.09","366.71K","-0.86%"
"2016년 04월 14일","91.98","91.88","92.12","91.06","241.85K","-0.77%"
"2016년 04월 13일","92.69","91.28","92.77","91.23","336.27K","2.24%"
"2016년 04월 12일","90.66","90.91","91.01","89.50","411.04K","-0.14%"
"2016년 04월 11일","90.79","91.24","92.13","90.76","263.07K","-0.02%"
"2016년 04월 08일","90.81","91.41","91.65","90.49","391.75K","0.46%"
"2016년 04월 07일","90.39","91.44","91.44","90.05","369.07K","-1.53%"
"2016년 04월 06일","91.79","90.82","91.87","90.07","1.75M","0.96%"
"2016년 04월 05일","90.92","90.88","91.54","90.52","180.52K","-0.56%"
"2016년 04월 04일","91.43","92.19","92.26","91.25","217.91K","-0.89%"
"2016년 04월 01일","92.25","90.83","92.29","90.73","150.99K","0.69%"
"2016년 03월 31일","91.62","92.00","92.08","91.59","178.88K","-0.55%"
"2016년 03월 30일","92.13","91.81","92.70","91.76","229.57K","0.88%"
"2016년 03월 29일","91.33","89.70","91.40","89.28","399.16K","1.38%"
"2016년 03월 28일","90.09","90.33","90.44","89.71","158.71K","-0.06%"
"2016년 03월 24일","90.14","89.64","90.19","89.16","200.76K","-0.07%"
"2016년 03월 23일","90.20","91.26","91.34","90.18","245.23K","-1.60%"
"2016년 03월 22일","91.67","91.24","92.02","91.02","217.68K","-0.02%"
"2016년 03월 21일","91.69","91.27","91.80","90.91","224.00K","0.13%"
"2016년 03월 18일","91.57","90.50","91.68","90.28","574.08K","1.32%"
"2016년 03월 17일","90.38","89.49","90.61","89.35","313.42K","0.69%"
"2016년 03월 16일","89.76","88.40","89.87","88.40","487.77K","0.90%"
"2016년 03월 15일","88.96","88.89","88.97","88.24","688.13K","-0.26%"
"2016년 03월 14일","89.19","89.06","89.48","88.79","250.77K","-0.23%"
"2016년 03월 11일","89.40","88.68","89.49","88.50","218.67K","1.90%"
"2016년 03월 10일","87.73","87.84","88.58","86.55","826.93K","0.50%"
"2016년 03월 09일","87.29","86.92","87.51","86.64","192.88K","0.70%"
"2016년 03월 08일","86.68","87.99","88.05","86.56","344.31K","-2.27%"
"2016년 03월 07일","88.69","87.75","89.01","87.44","371.20K","0.45%"
"2016년 03월 04일","88.29","87.99","89.02","87.34","459.52K","1.03%"
"2016년 03월 03일","87.39","87.32","87.61","86.75","290.46K","0.11%"
"2016년 03월 02일","87.29","86.62","87.34","86.60","344.40K","0.62%"
"2016년 03월 01일","86.75","85.09","86.86","85.05","388.26K","2.70%"
"2016년 02월 29일","84.47","84.83","85.95","84.47","390.43K","-0.33%"
"2016년 02월 27일","84.75","84.74","84.75","84.74","294.99K","0.09%"
"2016년 02월 26일","84.67","84.87","84.98","84.31","307.12K","0.64%"
"2016년 02월 25일","84.13","83.39","84.21","82.47","413.01K","1.22%"
"2016년 02월 24일","83.12","81.05","83.30","80.55","343.94K","1.33%"
"2016년 02월 23일","82.03","82.93","83.08","81.87","254.69K","-1.57%"
"2016년 02월 22일","83.34","82.87","83.77","82.87","595.83K","1.57%"
