"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016년 11월 07일","6.23","6.52","6.52","6.52","0.01K","-2.81%"
"2016년 11월 04일","6.41","6.53","6.61","6.44","0.48K","-1.38%"
"2016년 11월 03일","6.50","6.26","6.61","6.22","1.11K","4.17%"
"2016년 11월 02일","6.24","6.04","6.14","5.89","1.03K","3.48%"
"2016년 11월 01일","6.03","5.97","5.97","5.97","0.02K","2.20%"
"2016년 10월 31일","5.90","5.93","5.93","5.93","0.00K","0.34%"
"2016년 10월 28일","5.88","5.76","5.76","5.75","0.01K","1.20%"
"2016년 10월 27일","5.81","5.96","6.01","5.81","0.93K","-2.19%"
"2016년 10월 26일","5.94","5.89","6.09","5.89","1.39K","2.24%"
"2016년 10월 25일","5.81","5.92","6.00","5.67","1.86K","0.00%"
"2016년 10월 24일","5.81","6.02","6.03","5.84","1.32K","-1.36%"
"2016년 10월 21일","5.89","5.57","6.01","5.54","0.40K","5.56%"
"2016년 10월 20일","5.58","5.72","5.82","5.57","1.30K","-1.59%"
"2016년 10월 19일","5.67","6.01","6.01","5.71","1.09K","-4.71%"
"2016년 10월 18일","5.95","6.04","6.08","5.87","0.51K","1.36%"
"2016년 10월 17일","5.87","5.90","5.90","5.90","0.00K","1.03%"
"2016년 10월 14일","5.81","5.73","5.89","5.73","1.29K","2.83%"
"2016년 10월 13일","5.65","5.64","5.64","5.64","0.00K","2.36%"
"2016년 10월 12일","5.52","5.49","5.58","5.49","0.37K","1.66%"
"2016년 10월 11일","5.43","5.55","5.55","5.55","0.00K","-4.06%"
"2016년 10월 10일","5.66","5.70","5.77","5.56","0.31K","-0.53%"
"2016년 10월 07일","5.69","5.67","5.67","5.67","0.01K","-2.90%"
"2016년 10월 06일","5.86","5.60","6.11","5.60","2.38K","6.93%"
"2016년 10월 05일","5.48","5.43","5.43","5.43","0.00K","5.18%"
"2016년 10월 04일","5.21","5.22","5.22","5.22","0.00K","-1.88%"
"2016년 10월 03일","5.31","5.23","5.39","5.23","0.54K","7.06%"
"2016년 09월 30일","4.96","4.92","4.92","4.92","0.00K","-1.20%"
"2016년 09월 29일","5.02","5.19","5.19","5.19","0.00K","1.41%"
"2016년 09월 28일","4.95","5.00","5.00","5.00","0.00K","11.74%"
"2016년 09월 27일","4.43","4.66","4.69","4.49","1.25K","-4.11%"
"2016년 09월 26일","4.62","4.64","4.70","4.64","0.10K","1.76%"
"2016년 09월 23일","4.54","4.65","4.65","4.65","0.01K","2.71%"
"2016년 09월 22일","4.42","4.36","4.52","4.31","1.57K","4.99%"
"2016년 09월 21일","4.21","4.10","4.10","4.10","0.02K","1.20%"
"2016년 09월 20일","4.16","4.41","4.42","4.24","0.43K","-5.45%"
"2016년 09월 19일","4.40","4.43","4.43","4.42","0.00K","0.92%"
"2016년 09월 16일","4.36","4.25","4.47","4.25","0.42K","5.31%"
"2016년 09월 15일","4.14","3.97","3.97","3.97","0.00K","4.02%"
"2016년 09월 14일","3.98","4.13","4.13","4.02","0.49K","-1.00%"
"2016년 09월 13일","4.02","4.10","4.12","4.05","1.18K","-0.25%"
"2016년 09월 12일","4.03","4.12","4.15","4.01","0.51K","-1.23%"
"2016년 09월 09일","4.08","4.15","4.20","4.12","0.39K","0.00%"
"2016년 09월 08일","4.08","4.05","4.11","4.04","0.58K","1.75%"
"2016년 09월 07일","4.01","4.11","4.18","4.03","0.76K","-2.91%"
"2016년 09월 06일","4.13","4.03","4.20","3.99","1.52K","5.09%"
"2016년 09월 05일","3.93","4.20","4.21","3.96","2.43K","-3.68%"
"2016년 09월 02일","4.08","4.35","4.35","4.33","0.01K","-6.64%"
"2016년 09월 01일","4.37","4.54","4.55","4.46","0.68K","-2.02%"
"2016년 08월 31일","4.46","4.68","4.70","4.50","1.08K","-1.76%"
"2016년 08월 30일","4.54","4.80","4.84","4.70","1.20K","-3.20%"
"2016년 08월 29일","4.69","4.77","4.77","4.77","0.00K","0.00%"
"2016년 08월 26일","4.69","4.78","4.81","4.77","0.20K","-0.21%"
"2016년 08월 25일","4.70","4.72","4.80","4.72","0.06K","2.17%"
"2016년 08월 24일","4.60","4.77","4.80","4.64","2.76K","-2.13%"
"2016년 08월 23일","4.70","4.99","5.00","4.91","0.50K","-3.89%"
"2016년 08월 22일","4.89","4.87","4.87","4.87","0.01K","2.73%"
"2016년 08월 19일","4.76","4.74","4.90","4.74","0.39K","1.71%"
"2016년 08월 18일","4.68","4.49","4.49","4.49","0.01K","4.46%"
"2016년 08월 17일","4.48","4.77","4.77","4.58","0.64K","-4.48%"
"2016년 08월 16일","4.69","4.87","4.92","4.80","0.21K","-2.29%"
"2016년 08월 15일","4.80","4.99","4.99","4.86","0.75K","-1.84%"
"2016년 08월 12일","4.89","4.98","4.98","4.94","0.03K","0.41%"
"2016년 08월 11일","4.87","4.82","4.87","4.81","0.03K","2.31%"
"2016년 08월 10일","4.76","4.93","4.94","4.88","0.22K","-2.26%"
"2016년 08월 09일","4.87","5.00","5.00","4.89","0.66K","-1.42%"
"2016년 08월 08일","4.94","4.84","5.02","4.84","0.35K","4.66%"
"2016년 08월 05일","4.72","4.77","4.90","4.75","0.50K","0.85%"
"2016년 08월 04일","4.68","4.67","4.78","4.63","1.19K","1.30%"
"2016년 08월 03일","4.62","4.56","4.59","4.56","0.01K","5.00%"
"2016년 08월 02일","4.40","4.43","4.51","4.41","0.29K","0.69%"
"2016년 08월 01일","4.37","4.51","4.51","4.46","0.13K","-0.91%"
"2016년 07월 29일","4.41","4.40","4.40","4.40","0.00K","-1.34%"
"2016년 07월 28일","4.47","4.64","4.73","4.57","0.51K","-1.11%"
"2016년 07월 27일","4.52","4.59","4.63","4.57","1.44K","0.44%"
"2016년 07월 26일","4.50","4.70","4.70","4.59","2.74K","-1.75%"
"2016년 07월 25일","4.58","4.66","4.67","4.60","0.80K","0.66%"
"2016년 07월 22일","4.55","4.70","4.76","4.63","0.77K","-1.94%"
