"날짜","종가","오픈","고가","저가","변동 %"
"2018년 10월 08일","1.1492","1.1520","1.1536","1.1459","-0.28%"
"2018년 10월 05일","1.1524","1.1513","1.1550","1.1483","0.08%"
"2018년 10월 04일","1.1515","1.1478","1.1543","1.1464","0.32%"
"2018년 10월 03일","1.1478","1.1548","1.1595","1.1465","-0.61%"
"2018년 10월 02일","1.1548","1.1578","1.1582","1.1506","-0.26%"
"2018년 10월 01일","1.1578","1.1609","1.1630","1.1563","-0.27%"
"2018년 09월 28일","1.1609","1.1641","1.1652","1.1567","-0.27%"
"2018년 09월 27일","1.1641","1.1740","1.1759","1.1637","-0.84%"
"2018년 09월 26일","1.1740","1.1767","1.1799","1.1726","-0.27%"
"2018년 09월 25일","1.1772","1.1748","1.1793","1.1730","0.20%"
"2018년 09월 24일","1.1748","1.1751","1.1817","1.1723","-0.02%"
"2018년 09월 21일","1.1750","1.1776","1.1804","1.1731","-0.23%"
"2018년 09월 20일","1.1777","1.1671","1.1786","1.1665","0.89%"
"2018년 09월 19일","1.1673","1.1667","1.1716","1.1648","0.05%"
"2018년 09월 18일","1.1667","1.1684","1.1726","1.1651","-0.14%"
"2018년 09월 17일","1.1683","1.1623","1.1699","1.1617","0.46%"
"2018년 09월 14일","1.1630","1.1690","1.1724","1.1619","-0.51%"
"2018년 09월 13일","1.1690","1.1627","1.1703","1.1608","0.55%"
"2018년 09월 12일","1.1626","1.1604","1.1651","1.1570","0.16%"
"2018년 09월 11일","1.1607","1.1594","1.1645","1.1565","0.11%"
"2018년 09월 10일","1.1594","1.1560","1.1617","1.1526","0.35%"
"2018년 09월 07일","1.1553","1.1624","1.1651","1.1550","-0.59%"
"2018년 09월 06일","1.1622","1.1629","1.1660","1.1603","-0.06%"
"2018년 09월 05일","1.1629","1.1581","1.1640","1.1542","0.41%"
"2018년 09월 04일","1.1582","1.1623","1.1629","1.1528","-0.36%"
"2018년 09월 03일","1.1624","1.1596","1.1629","1.1583","0.20%"
"2018년 08월 31일","1.1601","1.1671","1.1692","1.1585","-0.60%"
"2018년 08월 30일","1.1671","1.1707","1.1720","1.1641","-0.32%"
"2018년 08월 29일","1.1708","1.1695","1.1712","1.1652","0.11%"
"2018년 08월 28일","1.1695","1.1678","1.1735","1.1662","0.15%"
"2018년 08월 27일","1.1678","1.1631","1.1694","1.1592","0.47%"
"2018년 08월 24일","1.1623","1.1540","1.1641","1.1533","0.73%"
"2018년 08월 23일","1.1539","1.1596","1.1601","1.1530","-0.50%"
"2018년 08월 22일","1.1597","1.1570","1.1624","1.1551","0.22%"
"2018년 08월 21일","1.1571","1.1482","1.1602","1.1479","0.78%"
"2018년 08월 20일","1.1481","1.1442","1.1486","1.1394","0.37%"
"2018년 08월 17일","1.1439","1.1377","1.1447","1.1365","0.54%"
"2018년 08월 16일","1.1377","1.1345","1.1411","1.1335","0.28%"
"2018년 08월 15일","1.1345","1.1344","1.1357","1.1299","0.01%"
