"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 05월 15일","57.96","57.79","58.58","57.30","10.28M","0.47%"
"2020년 05월 14일","57.69","58.90","58.90","57.55","11.84M","-2.20%"
"2020년 05월 13일","58.99","59.13","59.75","58.50","11.11M","-0.24%"
"2020년 05월 12일","59.13","58.89","59.14","58.20","10.40M","0.42%"
"2020년 05월 11일","58.88","59.29","59.66","58.11","19.07M","-1.51%"
"2020년 05월 08일","59.78","60.11","60.50","59.30","17.15M","-0.52%"
"2020년 05월 07일","60.09","62.17","62.17","59.98","22.51M","-3.36%"
"2020년 05월 06일","62.18","59.40","62.50","59.10","23.19M","3.70%"
"2020년 04월 30일","59.96","58.82","60.58","58.51","21.89M","3.38%"
"2020년 04월 29일","58.00","58.20","59.45","57.56","16.51M","1.79%"
"2020년 04월 28일","56.98","57.00","57.59","54.76","12.87M","0.00%"
"2020년 04월 27일","56.98","59.02","59.09","56.88","13.83M","-2.98%"
"2020년 04월 24일","58.73","58.67","60.49","58.50","13.59M","0.82%"
"2020년 04월 23일","58.25","59.99","60.55","58.04","11.60M","-1.99%"
"2020년 04월 22일","59.43","58.40","60.00","57.88","12.15M","0.10%"
"2020년 04월 21일","59.37","58.50","59.68","57.80","14.71M","0.87%"
"2020년 04월 20일","58.86","59.40","59.40","58.16","10.75M","0.10%"
"2020년 04월 17일","58.80","60.60","60.98","58.68","15.65M","-2.02%"
"2020년 04월 16일","60.01","60.10","61.30","59.05","16.53M","-0.22%"
"2020년 04월 15일","60.14","59.36","62.39","58.38","30.62M","3.83%"
"2020년 04월 14일","57.92","55.80","58.00","55.38","23.39M","3.80%"
"2020년 04월 13일","55.80","54.73","55.94","54.73","10.26M","2.25%"
"2020년 04월 10일","54.57","56.28","56.28","54.15","13.19M","-1.94%"
"2020년 04월 09일","55.65","55.81","56.54","55.55","13.33M","0.60%"
"2020년 04월 08일","55.32","55.80","55.80","55.04","12.95M","-1.76%"
"2020년 04월 07일","56.31","56.44","56.92","55.60","18.91M","2.38%"
"2020년 04월 03일","55.00","56.59","56.59","54.91","16.92M","-2.81%"
