"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 09월 02일","335.48","337.01","337.22","332.34","-","-0.47%"
"2021년 09월 01일","337.07","344.28","344.75","331.74","-","-2.10%"
"2021년 08월 31일","344.31","342.79","344.59","339.82","-","0.42%"
"2021년 08월 30일","342.87","340.35","347.81","339.97","-","0.85%"
"2021년 08월 27일","339.97","335.38","340.72","332.19","-","1.35%"
"2021년 08월 26일","335.43","342.80","345.17","335.27","-","-2.09%"
"2021년 08월 25일","342.58","340.27","344.12","335.88","-","0.66%"
"2021년 08월 24일","340.34","336.59","343.69","336.25","-","1.20%"
"2021년 08월 23일","336.29","327.12","337.09","325.95","-","2.88%"
"2021년 08월 20일","326.87","328.48","328.53","321.81","-","-0.52%"
"2021년 08월 19일","328.57","326.35","333.03","323.35","-","0.65%"
"2021년 08월 18일","326.44","322.73","328.17","321.50","-","1.15%"
"2021년 08월 17일","322.73","331.34","331.43","320.64","-","-2.56%"
"2021년 08월 16일","331.22","345.82","345.95","330.04","-","-4.17%"
"2021년 08월 13일","345.62","348.66","355.10","345.54","-","-0.87%"
"2021년 08월 12일","348.67","347.74","350.05","345.53","-","0.30%"
"2021년 08월 11일","347.62","344.16","350.06","342.69","-","0.98%"
"2021년 08월 10일","344.26","343.02","346.45","336.94","-","0.34%"
"2021년 08월 09일","343.10","348.03","348.37","336.20","-","-1.43%"
"2021년 08월 06일","348.08","344.19","352.27","343.81","-","1.07%"
"2021년 08월 05일","344.40","343.53","346.12","338.20","-","0.26%"
"2021년 08월 04일","343.50","329.81","345.44","329.17","-","4.19%"
"2021년 08월 03일","329.68","335.97","336.61","327.60","-","-1.91%"
"2021년 08월 02일","336.09","332.90","340.14","328.52","-","0.94%"
"2021년 07월 30일","332.96","331.32","335.85","328.33","-","0.52%"
"2021년 07월 29일","331.23","315.71","332.90","315.69","-","5.08%"
"2021년 07월 28일","315.21","310.89","316.10","305.69","-","1.28%"
"2021년 07월 27일","311.23","324.06","327.88","309.45","-","-3.94%"
"2021년 07월 26일","324.01","323.78","325.37","316.93","-","0.16%"
"2021년 07월 23일","323.50","328.28","330.93","322.47","-","-1.49%"
"2021년 07월 22일","328.39","323.73","328.94","322.40","-","1.52%"
"2021년 07월 21일","323.47","310.96","325.30","310.93","-","4.08%"
"2021년 07월 20일","310.81","306.68","311.18","304.48","-","1.29%"
"2021년 07월 19일","306.84","311.95","313.97","304.30","-","-1.67%"
